0-20,20-30,30-40,40-50,50-60 ,60-65,65-70,70-75,75-80,80-inf,total
0,0,0,0,0.714285714285715,0.142857142857139,0.571428571428555,0.428571428571445,1.71428571428578,9.1428571428571,12.7142857142857
0,0,0,0,0.714285714285715,0.142857142857139,0.571428571428555,0.428571428571445,1.71428571428578,9.1428571428571,12.7142857142857
0,0,0,0,0.714285714285715,0.142857142857139,0.571428571428555,0.428571428571445,1.71428571428578,9.1428571428571,12.7142857142857
0,0,0,0,0.714285714285715,0.142857142857139,0.571428571428555,0.428571428571445,1.71428571428578,9.1428571428571,12.7142857142857
0,0,0,0,0.714285714285709,0.142857142857167,0.571428571428669,0.428571428571331,1.71428571428532,9.14285714285734,12.7142857142855
0,0,0.142857142857143,0.285714285714285,0.428571428571438,0.571428571428584,1.14285714285717,1.42857142857144,3.42857142857133,13.8571428571428,21.2857142857142
0,0,0.142857142857143,0.285714285714285,0.428571428571438,0.571428571428584,1.14285714285717,1.42857142857144,3.42857142857133,13.8571428571428,21.2857142857142
0,0,0.142857142857143,0.285714285714285,0.428571428571438,0.571428571428584,1.14285714285717,1.42857142857144,3.42857142857133,13.8571428571428,21.2857142857142
0,0,0.142857142857143,0.285714285714285,0.428571428571438,0.571428571428584,1.14285714285717,1.42857142857144,3.42857142857133,13.8571428571428,21.2857142857142
0,0,0.142857142857143,0.285714285714285,0.428571428571438,0.571428571428584,1.14285714285717,1.42857142857144,3.42857142857133,13.8571428571428,21.2857142857142
0,0,0.142857142857143,0.285714285714285,0.428571428571438,0.571428571428584,1.14285714285717,1.42857142857144,3.42857142857133,13.8571428571428,21.2857142857142
0,0,0.142857142857141,0.285714285714287,0.428571428571374,0.571428571428498,1.142857142857,1.42857142857133,3.42857142857201,13.857142857143,21.2857142857146
0,0,0,0.142857142857142,0.57142857142857,0.714285714285722,1.57142857142856,2.28571428571433,3.14285714285711,17.7142857142856,26.142857142857
0,0,0,0.142857142857142,0.57142857142857,0.714285714285722,1.57142857142856,2.28571428571433,3.14285714285711,17.7142857142856,26.142857142857
0,0,0,0.142857142857142,0.57142857142857,0.714285714285722,1.57142857142856,2.28571428571433,3.14285714285711,17.7142857142856,26.142857142857
0,0,0,0.142857142857142,0.57142857142857,0.714285714285722,1.57142857142856,2.28571428571433,3.14285714285711,17.7142857142856,26.142857142857
0,0,0,0.142857142857142,0.57142857142857,0.714285714285722,1.57142857142856,2.28571428571433,3.14285714285711,17.7142857142856,26.142857142857
0,0,0,0.142857142857142,0.57142857142857,0.714285714285722,1.57142857142856,2.28571428571433,3.14285714285711,17.7142857142856,26.142857142857
0,0,0,0.142857142857146,0.571428571428583,0.714285714285666,1.57142857142867,2.28571428571399,3.14285714285734,17.7142857142867,26.1428571428581
0,0,0.142857142857142,0.142857142857142,0.285714285714285,1.14285714285714,1.57142857142856,3.85714285714289,9,30.7142857142857,46.8571428571428
0,0,0.142857142857142,0.142857142857142,0.285714285714285,1.14285714285714,1.57142857142856,3.85714285714289,9,30.7142857142857,46.8571428571428
0,0,0.142857142857142,0.142857142857142,0.285714285714285,1.14285714285714,1.57142857142856,3.85714285714289,9,30.7142857142857,46.8571428571428
0,0,0.142857142857142,0.142857142857142,0.285714285714285,1.14285714285714,1.57142857142856,3.85714285714289,9,30.7142857142857,46.8571428571428
0,0,0.142857142857142,0.142857142857142,0.285714285714285,1.14285714285714,1.57142857142856,3.85714285714289,9,30.7142857142857,46.8571428571428
0,0,0.142857142857142,0.142857142857142,0.285714285714285,1.14285714285714,1.57142857142856,3.85714285714289,9,30.7142857142857,46.8571428571428
0,0,0.142857142857146,0.142857142857146,0.285714285714292,1.14285714285717,1.57142857142867,3.85714285714266,9,30.714285714286,46.8571428571431
0,0,0,0.285714285714288,0.857142857142854,1,2.28571428571428,6.28571428571433,8.71428571428578,42.5714285714285,62.0000000000001
0,0,0,0.285714285714288,0.857142857142854,1,2.28571428571428,6.28571428571433,8.71428571428578,42.5714285714285,62.0000000000001
0,0,0,0.285714285714288,0.857142857142854,1,2.28571428571428,6.28571428571433,8.71428571428578,42.5714285714285,62.0000000000001
0,0,0,0.285714285714288,0.857142857142854,1,2.28571428571428,6.28571428571433,8.71428571428578,42.5714285714285,62.0000000000001
0,0,0,0.285714285714288,0.857142857142854,1,2.28571428571428,6.28571428571433,8.71428571428578,42.5714285714285,62.0000000000001
0,0,0,0.285714285714288,0.857142857142854,1,2.28571428571428,6.28571428571433,8.71428571428578,42.5714285714285,62.0000000000001
0,0,0,0.285714285714271,0.857142857142876,1,2.28571428571433,6.28571428571399,8.71428571428532,42.5714285714286,61.9999999999995
0,0,0.285714285714286,0.285714285714288,1.14285714285714,1.14285714285714,2.57142857142856,7.28571428571433,9.57142857142867,58.4285714285713,80.7142857142857
0,0,0.285714285714286,0.285714285714288,1.14285714285714,1.14285714285714,2.57142857142856,7.28571428571433,9.57142857142867,58.4285714285713,80.7142857142857
0,0,0.285714285714286,0.285714285714288,1.14285714285714,1.14285714285714,2.57142857142856,7.28571428571433,9.57142857142867,58.4285714285713,80.7142857142857
0,0,0.285714285714286,0.285714285714288,1.14285714285714,1.14285714285714,2.57142857142856,7.28571428571433,9.57142857142867,58.4285714285713,80.7142857142857
0,0,0.285714285714286,0.285714285714288,1.14285714285714,1.14285714285714,2.57142857142856,7.28571428571433,9.57142857142867,58.4285714285713,80.7142857142857
0,0,0.285714285714286,0.285714285714288,1.14285714285714,1.14285714285714,2.57142857142856,7.28571428571433,9.57142857142867,58.4285714285713,80.7142857142857
0,0,0.285714285714281,0.285714285714271,1.14285714285717,1.14285714285717,2.57142857142867,7.28571428571399,9.57142857142799,58.428571428572,80.7142857142856
0.142857142857143,0,0,0.428571428571427,1.57142857142856,1.28571428571428,2.85714285714283,4.71428571428567,10.2857142857142,46.5714285714286,67.8571428571427
